model,precision,dataset,accuracy,pass@k,confidence,failure_rate,diversity,cutoff_rate,tps,total_time,total_time_sec,avg_latency_sec,n_questions
meta-llama/Llama-3.2-1B-Instruct,8bit,cqa,0.5913185913185913,0.8525798525798526,0.7611442611442611,0.006449631449631449,2.158067158067158,0.0,450.03708295788357,31m 54s,1913.96,1.57,1221
Qwen/Qwen3.5-0.8B,16bit,cqa,0.588042588042588,0.8484848484848485,0.7413566163566163,0.00010237510237510238,2.2874692874692877,0.000819000819000819,227.5269010006596,1h 39m 5s,5945.27,4.87,1221
meta-llama/Llama-3.2-1B-Instruct,4bit,cqa,0.6044226044226044,0.8337428337428338,0.7616756366756366,0.006142506142506142,2.1564291564291564,0.0,185.0915473064548,1h 32m 13s,5532.75,4.53,1221
Qwen/Qwen3.5-0.8B,16bit,gsm8k,0.6504927975739196,0.8119787717968158,0.5833965125094769,0.0,3.9423805913570886,0.1606330553449583,252.35446735297415,5h 56m 55s,21414.79,16.24,1319
Qwen/Qwen3.5-0.8B,8bit,gsm8k,0.6368460955269143,0.8301743745261562,0.5635898407884761,0.0,4.089461713419257,0.14992418498862775,273.50741129261286,5h 30m 8s,19807.71,15.02,1319
meta-llama/Llama-3.2-1B-Instruct,8bit,gsm8k,0.4564063684609553,0.6793025018953753,0.4946387956243908,9.476876421531463e-05,4.58150113722517,0.0016110689916603487,433.4424107331533,1h 48m 50s,6529.96,4.95,1319
Qwen/Qwen3.5-0.8B,8bit,cqa,0.5773955773955773,0.8648648648648649,0.712969462969463,0.00020475020475020476,2.4357084357084355,0.0022522522522522522,275.6042850174866,2h 35m 51s,9350.89,7.66,1221
Qwen/Qwen3.5-0.8B,4bit,gsm8k,0.5511751326762699,0.7376800606520091,0.5103297952994693,0.0,4.501895375284306,0.1715314632297195,262.2297231044945,5h 43m 31s,20611.37,15.63,1319
Qwen/Qwen3.5-0.8B,4bit,cqa,0.5667485667485668,0.8665028665028665,0.6784836784836785,0.0013308763308763308,2.647829647829648,0.0004095004095004095,218.6289574297619,1h 34m 8s,5647.63,4.63,1221
